service_date,mode,route_or_line,total_monthly_weekday_ridership,average_monthly_weekday_ridersh,countofdates_weekday,total_monthly_ridership,average_monthly_ridership,countofdates,ObjectId
2019/07/01 04:00:00+00,Ferry,Boat-F3,41979,1908,22,,,31,665
2019/07/01 04:00:00+00,Ferry,Boat-F4,35891,1631,22,,,31,666
2019/07/01 04:00:00+00,Bus,Bus,7373078,335140,22,8653636,279150,31,667
2019/07/01 04:00:00+00,Commuter Rail,Commuter Rail,2620848,119129,22,2669884,86125,31,668
2019/07/01 04:00:00+00,Rail,Green Line,3892447,176929,22,4756652,153440,31,669
2019/07/01 04:00:00+00,Rail,Orange Line,4531760,205989,22,5349369,172560,31,670
2019/07/01 04:00:00+00,Rail,Red Line,5316151,241643,22,6244392,201432,31,671
2019/07/01 04:00:00+00,Bus,Silver Line,825192,37509,22,1024590,33051,31,672
2019/07/01 04:00:00+00,The RIDE,The RIDE,127159,5780,22,200568,6470,31,673
2019/08/01 04:00:00+00,Rail,Blue Line,1567310,71241,22,1939732,62572,31,674
2019/08/01 04:00:00+00,Ferry,Boat-F1,89914,4087,22,,,31,675
2019/08/01 04:00:00+00,Ferry,Boat-F3,44407,2018,22,,,31,676
2019/08/01 04:00:00+00,Ferry,Boat-F4,35084,1594,22,,,31,677
2019/08/01 04:00:00+00,Bus,Bus,7273030,330592,22,8720653,281311,31,678
2019/08/01 04:00:00+00,Commuter Rail,Commuter Rail,2646170,120280,22,2800661,90344,31,679
2019/08/01 04:00:00+00,Rail,Green Line,3721480,169158,22,4552193,146845,31,680
2019/08/01 04:00:00+00,Rail,Orange Line,4422812,201037,22,5220010,168387,31,681
2019/08/01 04:00:00+00,Rail,Red Line,5191133,235961,22,6146414,198271,31,682
2019/08/01 04:00:00+00,Bus,Silver Line,823813,37446,22,1014331,32720,31,683
2019/08/01 04:00:00+00,The RIDE,The RIDE,126310,5741,22,202987,6548,31,684
2019/09/01 04:00:00+00,Rail,Blue Line,1785460,89273,20,2231467,74382,30,685
2019/09/01 04:00:00+00,Ferry,Boat-F1,83662,4183,20,,,30,686
2019/09/01 04:00:00+00,Ferry,Boat-F3,27009,1350,20,,,30,687
2019/09/01 04:00:00+00,Ferry,Boat-F4,24600,1230,20,,,30,688
2019/09/01 04:00:00+00,Bus,Bus,7479428,373971,20,8969616,298987,30,689
2019/09/01 04:00:00+00,Commuter Rail,Commuter Rail,2416473,120823,20,2553903,85130,30,690
2019/09/01 04:00:00+00,Rail,Green Line,4602136,230107,20,5815815,193861,30,691
2019/09/01 04:00:00+00,Rail,Orange Line,4577476,228874,20,5461798,182060,30,692
2019/09/01 04:00:00+00,Rail,Red Line,5604684,280234,20,6805792,226860,30,693
2019/09/01 04:00:00+00,Bus,Silver Line,738886,36944,20,933957,31132,30,694
2019/09/01 04:00:00+00,The RIDE,The RIDE,121197,6059,20,158647,5288,30,695
2019/10/01 04:00:00+00,Rail,Blue Line,1691316,73536,23,1970114,63552,31,696
2019/10/01 04:00:00+00,Ferry,Boat-F1,87597,3808,23,,,31,697
2019/10/01 04:00:00+00,Ferry,Boat-F3,25642,1114,23,,,31,698
2019/10/01 04:00:00+00,Ferry,Boat-F4,22783,990,23,,,31,699
2019/10/01 04:00:00+00,Bus,Bus,8528799,370817,23,9744683,314345,31,700
2020/12/01 05:00:00+00,Bus,Bus,3082973,140135,22,3700267,119363,31,701
2020/12/01 05:00:00+00,Commuter Rail,Commuter Rail,536271,23316,22,327341,10559,31,702
2020/12/01 05:00:00+00,Ferry,Ferry,7876,358,22,7872,254,31,703
2020/12/01 05:00:00+00,Rail,Green Line,638425,29019,22,922213,29749,31,704
2020/12/01 05:00:00+00,Rail,Orange Line,1027769,46717,22,1223875,39480,31,705
2020/12/01 05:00:00+00,Rail,Red Line,1057385,48063,22,1299441,41917,31,706
2020/12/01 05:00:00+00,Bus,Silver Line,292129,13279,22,371044,11969,31,707
2020/12/01 05:00:00+00,The RIDE,The RIDE,44471,2021,22,59636,1924,31,708
2021/01/01 05:00:00+00,Rail,Blue Line,400358,21071,19,579780,18703,31,709
2021/01/01 05:00:00+00,Bus,Bus,2640328,138965,19,3501554,112954,31,710
2021/01/01 05:00:00+00,Commuter Rail,Commuter Rail,222252,11697,19,239143,7714,31,711
2021/01/01 05:00:00+00,Ferry,Ferry,6264,330,19,6264,202,31,712
2021/01/01 05:00:00+00,Rail,Green Line,651786,34305,19,1002223,32330,31,713
2021/01/01 05:00:00+00,Rail,Orange Line,902850,47518,19,1260968,40676,31,714
2021/01/01 05:00:00+00,Rail,Red Line,945461,49761,19,1321205,42620,31,715
2021/01/01 05:00:00+00,Bus,Silver Line,240789,12673,19,342824,11059,31,716
2021/01/01 05:00:00+00,The RIDE,The RIDE,39419,2075,19,51681,1667,31,717
2021/02/01 05:00:00+00,The RIDE,The RIDE,39954,2103,19,48317,1726,28,718
2021/02/01 05:00:00+00,Rail,Blue Line,419572,22083,19,554967,19820,28,719
2021/02/01 05:00:00+00,Bus,Bus,2710928,142680,19,3423185,122257,28,720
2021/02/01 05:00:00+00,Commuter Rail,Commuter Rail,231936,12207,19,276008,9857,28,721
2021/02/01 05:00:00+00,Ferry,Ferry,4074,214,19,4074,146,28,722
2021/02/01 05:00:00+00,Rail,Green Line,729953,38419,19,1017548,36341,28,723
2021/02/01 05:00:00+00,Rail,Orange Line,951911,50101,19,1219121,43540,28,724
2021/02/01 05:00:00+00,Rail,Red Line,995864,52414,19,1289269,46045,28,725
2021/02/01 05:00:00+00,Bus,Silver Line,246434,12970,19,328957,11748,28,726
2021/03/01 05:00:00+00,Rail,Blue Line,559015,24305,23,693566,22373,31,727
2021/03/01 05:00:00+00,Bus,Bus,3565098,155004,23,4260481,137435,31,728
2021/03/01 05:00:00+00,Commuter Rail,Commuter Rail,312152,13572,23,353466,11402,31,729
2021/03/01 05:00:00+00,Ferry,Ferry,6920,301,23,6920,223,31,730
2021/03/01 05:00:00+00,Rail,Green Line,951153,41354,23,1245044,40163,31,731
2021/03/01 05:00:00+00,Rail,Orange Line,1206853,52472,23,1455806,46961,31,732
2021/03/01 05:00:00+00,Rail,Red Line,1317620,57288,23,1609594,51922,31,733
2021/03/01 05:00:00+00,Bus,Silver Line,327929,14258,23,407218,13136,31,734
2021/03/01 05:00:00+00,The RIDE,The RIDE,54953,2389,23,63048,2034,31,735
2021/04/01 04:00:00+00,Rail,Blue Line,580783,26399,22,735858,24529,30,736
2021/04/01 04:00:00+00,Bus,Bus,3443649,156530,22,4315451,143848,30,737
2021/04/01 04:00:00+00,Commuter Rail,Commuter Rail,368460,16748,22,395988,13200,30,738
2021/04/01 04:00:00+00,Ferry,Ferry,8679,395,22,8679,289,30,739
2021/04/01 04:00:00+00,Rail,Green Line,946272,43012,22,1311394,43713,30,740
2021/04/01 04:00:00+00,Rail,Orange Line,1250603,56846,22,1532138,51071,30,741
2021/04/01 04:00:00+00,Rail,Red Line,1376529,62570,22,1721700,57390,30,742
2021/04/01 04:00:00+00,Bus,Silver Line,324681,14758,22,423432,14114,30,743
2021/04/01 04:00:00+00,The RIDE,The RIDE,53632,2438,22,62512,2084,30,744
2021/05/01 04:00:00+00,Rail,Blue Line,593029,29651,20,818355,26399,31,745
2021/05/01 04:00:00+00,Bus,Bus,3635163,181758,20,4636156,149554,31,746
2021/05/01 04:00:00+00,Commuter Rail,Commuter Rail,450400,22520,20,520549,16792,31,747
2021/05/01 04:00:00+00,Ferry,Ferry,13076,654,20,13076,422,31,748
2021/05/01 04:00:00+00,Rail,Green Line,1006396,50320,20,1373239,44298,31,749
2021/05/01 04:00:00+00,Rail,Orange Line,1319598,65980,20,1776863,57318,31,750
2020/07/01 04:00:00+00,Rail,Green Line,535561,23285,23,686530,22146,31,751
2020/07/01 04:00:00+00,Rail,Orange Line,982593,42721,23,1190646,38408,31,752
2020/07/01 04:00:00+00,Rail,Red Line,994898,43256,23,1197791,38638,31,753
2020/07/01 04:00:00+00,Bus,Silver Line,297525,13524,22,393234,12685,31,754
2020/07/01 04:00:00+00,The RIDE,The RIDE,43597,1896,23,60480,1951,31,755
2020/08/01 04:00:00+00,Rail,Blue Line,490985,23380,21,576176,18586,31,756
2020/08/01 04:00:00+00,Ferry,Boat-F1,5479,260,21,,,31,757
2020/08/01 04:00:00+00,Ferry,Boat-F3,7883,375,21,,,31,758
2020/08/01 04:00:00+00,Ferry,Boat-F4,4957,236,21,,,31,759
2020/08/01 04:00:00+00,Bus,Bus,2937395,139876,21,3843412,123981,31,760
2020/08/01 04:00:00+00,Commuter Rail,Commuter Rail,646687,32334,20,308476,9951,31,761
2020/08/01 04:00:00+00,Rail,Green Line,648443,30878,21,886645,28601,31,762
2020/08/01 04:00:00+00,Rail,Orange Line,1016512,48405,21,1297100,41842,31,763
2020/08/01 04:00:00+00,Rail,Red Line,1046554,49836,21,1344955,43386,31,764
2020/08/01 04:00:00+00,Bus,Silver Line,280177,13342,21,385679,12441,31,765
2020/08/01 04:00:00+00,The RIDE,The RIDE,40673,1937,21,55066,1776,31,766
2020/09/01 04:00:00+00,Rail,Blue Line,534461,25451,21,700927,23364,30,767
2020/09/01 04:00:00+00,Ferry,Boat-F1,5862,279,21,,,30,768
2020/09/01 04:00:00+00,Ferry,Boat-F3,6601,314,21,,,30,769
2020/09/01 04:00:00+00,Ferry,Boat-F4,4071,193,21,,,30,770
2020/09/01 04:00:00+00,Bus,Bus,3290778,156704,21,4099515,136651,30,771
2020/09/01 04:00:00+00,Commuter Rail,Commuter Rail,597750,25989,23,345989,11533,30,772
2020/09/01 04:00:00+00,Rail,Green Line,851311,40539,21,1175541,39185,30,773
2020/09/01 04:00:00+00,Rail,Orange Line,1180446,56212,21,1511845,50395,30,774
2020/09/01 04:00:00+00,Rail,Red Line,1196531,56978,21,1541776,51393,30,775
2020/09/01 04:00:00+00,Bus,Silver Line,296860,14136,21,386212,12874,30,776
2020/09/01 04:00:00+00,The RIDE,The RIDE,45219,2153,21,60279,2009,30,777
2020/10/01 04:00:00+00,Rail,Blue Line,534452,24293,22,702004,22645,31,778
2020/10/01 04:00:00+00,Ferry,Boat-F1,3958,247,16,,,31,779
2020/10/01 04:00:00+00,Ferry,Boat-F3,4858,220,22,,,31,780
2020/10/01 04:00:00+00,Ferry,Boat-F4,3586,170,22,,,31,781
2020/10/01 04:00:00+00,Bus,Bus,3397061,154412,22,4216339,136011,31,782
2020/10/01 04:00:00+00,Commuter Rail,Commuter Rail,607686,27622,22,408247,13169,31,783
2020/10/01 04:00:00+00,Rail,Green Line,840546,38207,22,1253515,40436,31,784
2020/10/01 04:00:00+00,Rail,Orange Line,1233353,56062,22,1578344,50914,31,785
2020/10/01 04:00:00+00,Rail,Red Line,1250838,56856,22,1624633,52408,31,786
2020/10/01 04:00:00+00,Bus,Silver Line,313541,14252,22,403971,13031,31,787
2020/10/01 04:00:00+00,The RIDE,The RIDE,47342,2254,21,64297,2074,31,788
2020/11/01 04:00:00+00,Rail,Blue Line,452224,22611,20,605109,20170,30,789
2020/11/01 04:00:00+00,Ferry,Boat-F1,3917,195,20,,,30,790
2020/11/01 04:00:00+00,Ferry,Boat-F3,3941,197,20,,,30,791
2020/11/01 04:00:00+00,Ferry,Boat-F4,2417,120,20,,,30,792
2020/11/01 04:00:00+00,Bus,Bus,2998614,149931,20,3785357,126179,30,793
2020/11/01 04:00:00+00,Commuter Rail,Commuter Rail,826869,39374,21,387367,12912,30,794
2020/11/01 04:00:00+00,Rail,Green Line,697183,34859,20,1033684,34456,30,795
2020/11/01 04:00:00+00,Rail,Orange Line,1042139,52107,20,1348731,44958,30,796
2020/11/01 04:00:00+00,Rail,Red Line,1059484,52974,20,1383293,46110,30,797
2020/11/01 04:00:00+00,Bus,Silver Line,275619,13781,20,365668,12189,30,798
2020/11/01 04:00:00+00,The RIDE,The RIDE,43975,2198,20,59815,1994,30,799
2020/12/01 05:00:00+00,Rail,Blue Line,446133,20279,22,561328,18107,31,800
2022/04/01 04:00:00+00,Bus,Silver Line,533899,25424,21,676215,22541,30,801
2022/04/01 04:00:00+00,The RIDE,The RIDE,69279,3299,21,83670,2789,30,802
